source,source_url,source_item_url,category,provider_name,legal_company_name,brand_or_product,product_id,apr_from,apr_to,company_url,source_notes
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/248,銀行-地方,北海道銀行,株式会社北海道銀行,北海道銀行カードローン「ラピッド」,248,1.9000,14.9500,https://www.hokkaidobank.co.jp/,companyType=2
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/hokuetsubank/,銀行-地方,北越銀行,,北越銀行カードローン,,,,,scraped_from_manekai_company_category
existing_provider_candidate,data/cardloan_provider_candidates.csv,,銀行-地方,北都銀行,,北都銀行カードローン,,,,,manual_provider_candidate
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/hokutobank/,銀行-地方,北都銀行”カードローン1000”,,北都銀行”カードローン1000”,,,,,scraped_from_manekai_company_category
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/hokugin/,銀行-地方,北陸銀行,,北陸銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/jyuhachishinwabank/,銀行-地方,十八親和銀行,,十八親和銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/275,銀行-地方,十六銀行,株式会社十六銀行,Q-LOAN,275,2.0000,14.9500,https://www.juroku.co.jp/,companyType=2
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/juroku/,銀行-地方,十六銀行,,十六銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/50,銀行-地方,千葉興業銀行,株式会社千葉興業銀行,ちば興銀 ガン保障付カードローン〈あんしんアップ〉,50,1.6000,14.8000,https://www.chibakogyo-bank.co.jp/,companyType=2
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/chibakogyo-bank/,銀行-地方,千葉興業銀行,,千葉興業銀行 カードローン(リリーフ),,,,,scraped_from_manekai_company_category
existing_provider_candidate,data/cardloan_provider_candidates.csv,,銀行-地方,千葉銀行,,ちばぎんカードローン,,,,,ubersuggest_keyword_export
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/52,銀行-地方,千葉銀行,株式会社千葉銀行,ちばぎんカードローン<プレミアクラス>,52,4.0000,5.5000,https://www.chibabank.co.jp/,companyType=2
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/51,銀行-地方,千葉銀行,株式会社千葉銀行,ちばぎんカードローンクイックパワー<アドバンス>,51,1.4000,14.8000,https://www.chibabank.co.jp/,companyType=2
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/nangin/,銀行-地方,南日本銀行,,南日本銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/1498,銀行-地方,南都銀行,株式会社南都銀行,南都銀行カードローン,1498,0.9000,14.9500,http://www.nantobank.co.jp/,companyType=2; also_seen=manekai_region_banks; also_seen=existing_provider_candidate
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/268,銀行-地方,名古屋銀行,株式会社名古屋銀行,名古屋銀行カードローン,268,1.8000,13.8000,https://www.meigin.com/,companyType=2; also_seen=existing_provider_candidate
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/shikokubank/,銀行-地方,四国銀行,,四国銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/1468,銀行-地方,埼玉りそな銀行,株式会社 埼玉りそな銀行,埼玉りそな銀行 りそなプレミアムカードローン,1468,1.4500,13.9000,https://www.saitamaresona.co.jp/,companyType=2
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/65,銀行-地方,大光銀行,株式会社大光銀行,カードローンLUXZO,65,3.8000,14.0000,https://www.taikobank.jp/,companyType=2
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/taikobank/,銀行-地方,大光銀行,,大光銀行「たいこうカードローンEX」,,,,,scraped_from_manekai_company_category
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/oitabank/,銀行-地方,大分銀行,,大分銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/72,銀行-地方,大分銀行,株式会社大分銀行,大分銀行ハッピーカードローン,72,5.0000,14.5000,https://www.oitabank.co.jp/,companyType=2
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/ogakikyoritsubank/,銀行-地方,大垣共立銀行,,大垣共立銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/69,銀行-地方,大東銀行,株式会社大東銀行,だいとうカードローン(毎月返済型),69,4.5000,14.0000,https://www.daitobank.co.jp/,companyType=2
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/daitobank/,銀行-地方,大東銀行,,大東銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/taiyobank/,銀行-地方,宮崎太陽銀行,,宮崎太陽銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/1492,銀行-地方,宮崎太陽銀行,株式会社宮崎太陽銀行,宮崎太陽銀行のTポイント付カードローン,1492,7.0000,14.6000,https://www.taiyobank.co.jp/,companyType=2
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/1491,銀行-地方,宮崎太陽銀行,株式会社宮崎太陽銀行,宮崎太陽銀行カードローン「おたすけA(エース)」,1491,5.8000,14.5000,https://www.taiyobank.co.jp/,companyType=2
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/miyagin/,銀行-地方,宮崎銀行,,宮崎銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/280,銀行-地方,富山第一銀行,株式会社富山第一銀行,ファーストバンクのカードローン,280,3.5500,14.5500,https://www.first-bank.co.jp/,companyType=2
existing_provider_candidate,data/cardloan_provider_candidates.csv,,銀行-地方,富山第一銀行,,富山第一銀行カードローン,,,,,manual_provider_candidate
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/first-bank/,銀行-地方,富山第一銀行,,富山第一銀行「ファーストバンクカードローン」,,,,,scraped_from_manekai_company_category
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/toyamabank/,銀行-地方,富山銀行,,富山銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
